iter	Passed	Remaining
0	147	147840
1	149	74414
2	150	49909
3	156	38844
4	157	31270
5	158	26193
6	159	22568
7	160	19842
8	161	17728
9	162	16058
10	163	14708
11	169	13926
12	170	12935
13	171	12071
14	172	11339
15	173	10691
16	175	10124
17	176	9611
18	177	9147
19	178	8730
20	184	8592
21	185	8237
22	186	7917
23	187	7619
24	188	7349
25	189	7101
26	190	6871
27	191	6652
28	192	6452
29	207	6698
30	208	6523
31	216	6537
32	217	6365
33	218	6210
34	219	6057
35	220	5916
36	222	5782
37	223	5652
38	228	5630
39	229	5518
40	230	5402
41	232	5296
42	233	5192
43	234	5093
44	235	4997
45	236	4908
46	237	4824
47	243	4826
48	244	4750
49	245	4672
50	246	4594
51	248	4523
52	249	4451
53	250	4385
54	251	4318
55	252	4257
56	257	4268
57	259	4208
58	260	4151
59	261	4094
60	262	4037
61	263	3985
62	264	3932
63	265	3882
64	266	3834
65	267	3789
66	277	3864
67	281	3861
68	283	3819
69	290	3861
70	291	3819
71	293	3778
72	294	3738
73	331	4149
74	338	4170
75	339	4133
76	341	4091
77	342	4049
78	343	4009
79	345	3970
80	346	3932
81	347	3894
82	357	3951
83	359	3915
84	359	3873
85	361	3838
86	361	3797
87	363	3764
88	370	3793
89	371	3760
90	373	3728
91	374	3698
92	376	3671
93	407	3922
94	408	3890
95	409	3858
96	411	3827
97	417	3841
98	418	3811
99	420	3780
100	421	3751
101	422	3716
102	423	3688
103	425	3663
104	426	3639
105	440	3712
106	441	3685
107	443	3662
108	445	3645
109	447	3620
110	448	3595
111	450	3569
112	451	3547
113	453	3522
114	484	3732
115	487	3718
116	489	3695
117	501	3750
118	502	3722
119	504	3697
120	505	3673
121	510	3675
122	511	3647
123	580	4101
124	581	4071
125	582	4041
126	583	4012
127	584	3981
128	585	3953
129	586	3925
130	587	3898
131	600	3948
132	601	3922
133	603	3897
134	608	3901
135	610	3880
136	612	3855
137	613	3829
138	614	3805
139	615	3782
140	617	3760
141	618	3737
142	629	3773
143	650	3864
144	651	3840
145	652	3817
146	653	3794
147	655	3771
148	656	3747
149	657	3723
150	658	3700
151	659	3676
152	660	3653
153	661	3631
154	662	3609
155	662	3586
156	674	3622
157	675	3600
158	676	3578
159	677	3556
160	678	3535
161	679	3514
162	684	3516
163	685	3495
164	686	3475
165	687	3454
166	688	3434
167	689	3415
168	690	3395
169	691	3375
170	692	3356
171	693	3337
172	694	3318
173	701	3328
174	702	3309
175	703	3291
176	703	3273
177	704	3255
178	705	3237
179	706	3220
180	707	3200
181	708	3183
182	709	3165
183	713	3165
184	715	3150
185	716	3134
186	717	3117
187	717	3100
188	718	3084
189	719	3068
190	720	3052
191	721	3036
192	722	3020
193	723	3004
194	724	2989
195	729	2991
196	730	2977
197	731	2962
198	732	2947
199	733	2932
200	734	2917
201	734	2903
202	735	2889
203	736	2874
204	737	2860
205	738	2846
206	739	2832
207	751	2861
208	752	2848
209	753	2834
210	754	2821
211	759	2821
212	760	2809
213	761	2796
214	762	2783
215	763	2770
216	764	2757
217	765	2744
218	766	2732
219	767	2719
220	767	2706
221	768	2694
222	769	2682
223	774	2684
224	775	2672
225	776	2660
226	777	2648
227	778	2636
228	779	2624
229	780	2612
230	781	2601
231	782	2589
232	783	2578
233	784	2567
234	789	2570
235	790	2559
236	791	2548
237	792	2537
238	793	2526
239	794	2515
240	795	2504
241	796	2493
242	797	2483
243	798	2473
244	799	2462
245	804	2464
246	805	2455
247	806	2445
248	807	2434
249	808	2424
250	809	2414
251	809	2404
252	810	2394
253	811	2384
254	812	2374
255	813	2364
256	814	2355
257	826	2376
258	827	2368
259	828	2359
260	829	2349
261	833	2346
262	834	2338
263	835	2328
264	836	2319
265	837	2309
266	838	2301
267	839	2291
268	840	2282
269	840	2273
270	841	2264
271	842	2255
272	846	2255
273	848	2247
274	849	2238
275	850	2229
276	850	2221
277	851	2212
278	852	2203
279	854	2197
280	856	2191
281	864	2200
282	865	2193
283	869	2191
284	871	2185
285	872	2179
286	880	2187
287	882	2181
288	884	2175
289	886	2169
290	887	2162
291	898	2178
292	901	2175
293	902	2167
294	904	2160
295	911	2168
296	913	2161
297	914	2154
298	916	2147
299	917	2140
300	918	2134
301	927	2144
302	929	2139
303	931	2133
304	933	2126
305	935	2122
306	942	2128
307	945	2123
308	963	2155
309	967	2153
310	978	2166
311	1012	2233
312	1014	2227
313	1016	2220
314	1023	2225
315	1025	2219
316	1027	2213
317	1029	2206
318	1031	2202
319	1039	2209
320	1042	2205
321	1044	2199
322	1046	2192
323	1057	2206
324	1059	2200
325	1067	2207
326	1071	2204
327	1075	2203
328	1077	2196
329	1079	2191
330	1087	2197
331	1089	2192
332	1091	2186
333	1092	2179
334	1095	2173
335	1101	2176
336	1103	2170
337	1104	2163
338	1106	2157
339	1108	2150
340	1109	2144
341	1111	2138
342	1118	2143
343	1121	2138
344	1123	2133
345	1125	2128
346	1140	2145
347	1145	2147
348	1148	2142
349	1150	2136
350	1153	2131
351	1154	2125
352	1156	2118
353	1172	2139
354	1179	2143
355	1183	2140
356	1185	2134
357	1192	2137
358	1198	2140
359	1200	2133
360	1202	2128
361	1217	2146
362	1219	2140
363	1227	2144
364	1229	2139
365	1230	2132
366	1231	2124
367	1233	2117
368	1234	2111
369	1245	2121
370	1247	2114
371	1248	2108
372	1250	2101
373	1251	2094
374	1257	2096
375	1258	2088
376	1259	2081
377	1260	2074
378	1261	2066
379	1262	2059
380	1263	2052
381	1264	2045
382	1265	2038
383	1266	2030
384	1266	2023
385	1272	2023
386	1273	2017
387	1274	2010
388	1275	2003
389	1276	1996
390	1277	1989
391	1277	1982
392	1278	1975
393	1279	1968
394	1280	1961
395	1281	1954
396	1290	1960
397	1295	1959
398	1296	1952
399	1297	1946
400	1304	1948
401	1306	1943
402	1307	1936
403	1308	1929
404	1309	1923
405	1310	1917
406	1311	1910
407	1312	1904
408	1313	1897
409	1315	1892
410	1316	1886
411	1317	1880
412	1318	1874
413	1319	1868
414	1320	1861
415	1321	1855
416	1322	1849
417	1329	1850
418	1330	1845
419	1331	1839
420	1332	1833
421	1333	1826
422	1334	1820
423	1335	1814
424	1336	1808
425	1337	1802
426	1338	1795
427	1343	1795
428	1344	1789
429	1345	1783
430	1346	1777
431	1347	1771
432	1348	1765
433	1349	1759
434	1350	1753
435	1351	1747
436	1352	1742
437	1353	1736
438	1360	1738
439	1361	1733
440	1362	1727
441	1367	1726
442	1368	1720
443	1369	1715
444	1370	1709
445	1371	1704
446	1372	1698
447	1373	1692
448	1374	1687
449	1375	1681
450	1376	1675
451	1377	1670
452	1378	1665
453	1379	1659
454	1384	1658
455	1386	1653
456	1386	1648
457	1387	1642
458	1388	1636
459	1389	1631
460	1390	1626
461	1391	1620
462	1392	1615
463	1393	1610
464	1394	1604
465	1401	1605
466	1402	1600
467	1403	1595
468	1404	1590
469	1405	1584
470	1406	1579
471	1407	1574
472	1408	1568
473	1409	1563
474	1410	1558
475	1415	1557
476	1416	1552
477	1417	1547
478	1418	1542
479	1419	1537
480	1420	1532
481	1421	1527
482	1422	1522
483	1423	1517
484	1424	1512
485	1425	1507
486	1430	1506
487	1431	1502
488	1433	1497
489	1434	1493
490	1435	1488
491	1436	1483
492	1438	1478
493	1439	1474
494	1440	1469
495	1450	1473
496	1451	1469
497	1453	1464
498	1454	1459
499	1454	1454
500	1455	1450
501	1461	1449
502	1462	1445
503	1463	1440
504	1464	1435
505	1465	1430
506	1466	1425
507	1467	1421
508	1468	1416
509	1469	1411
510	1470	1406
511	1470	1402
512	1475	1400
513	1477	1396
514	1478	1392
515	1479	1387
516	1480	1382
517	1480	1378
518	1481	1373
519	1482	1368
520	1483	1364
521	1484	1359
522	1485	1355
523	1486	1350
524	1491	1349
525	1493	1345
526	1494	1341
527	1495	1336
528	1496	1332
529	1497	1328
530	1499	1324
531	1500	1319
532	1501	1315
533	1512	1319
534	1513	1315
535	1514	1310
536	1515	1306
537	1516	1301
538	1517	1297
539	1525	1299
540	1526	1295
541	1527	1291
542	1528	1286
543	1530	1282
544	1531	1278
545	1532	1274
546	1535	1271
547	1536	1267
548	1538	1263
549	1539	1259
550	1540	1255
551	1541	1250
552	1542	1246
553	1548	1246
554	1549	1242
555	1550	1238
556	1551	1233
557	1552	1229
558	1554	1226
559	1555	1222
560	1556	1218
561	1557	1214
562	1564	1214
563	1566	1210
564	1567	1206
565	1568	1202
566	1569	1198
567	1570	1194
568	1570	1189
569	1571	1185
570	1572	1181
571	1580	1182
572	1582	1178
573	1583	1175
574	1584	1171
575	1587	1168
576	1588	1164
577	1595	1165
578	1596	1161
579	1597	1156
580	1598	1152
581	1599	1148
582	1600	1144
583	1601	1140
584	1602	1136
585	1603	1133
586	1609	1132
587	1611	1128
588	1612	1125
589	1613	1121
590	1614	1117
591	1615	1113
592	1616	1109
593	1617	1105
594	1618	1101
595	1619	1097
596	1623	1096
597	1625	1092
598	1626	1088
599	1627	1084
